1,2257,9406
1,2113,1374419
4,1444,1809673
1,1902,3019560
6,1513,17128
3,1325,578411
2,102,308330
1,51,743840
1,51,745591
3,1306,533260
3,56,918477
1,2136,223213
1,2203,420577
0,2,675069
1,2259,865839
1,1241,2526217
6,222,632057
2,1703,566117
1,2336,448118
3,1632,5734
3,230,2393624
1,2007,216329
3,1408,396699
1,1532,2080635
0,1556,13464
5,2134,302691
4,2306,540014
2,1852,1707807
0,2314,1335515
4,1915,2271255
0,6,2246050
0,6,2590525
0,6,8036262
4,49,2935872
4,1941,711746
0,1509,1886381
5,1735,539054
1,1309,974776
6,1315,650870
4,1413,308192
2,1656,1494305
1,2116,104609
0,1401,966905
3,1942,171834
2,1719,771396
1,1948,24334
4,1300,1113467
0,1551,543494
3,2114,381514
4,1900,13948
4,1522,144195
5,1937,173332
2,1534,1640711
0,1807,313045
5,2117,100308
5,2105,348223
5,2104,2746728
2,2344,104359
6,1631,8036
6,1538,38461
5,2216,65484
5,1825,37796
5,1612,25513
4,2102,12067
4,1908,15114
4,1722,146982
3,1822,16025
3,1513,21114
3,15,3524
2,2226,4916
2,2017,8054
2,1755,14977
2,1554,7633
1,2217,6816
1,2209,46943
1,2012,7210
1,1808,6867
1,1700,10963
1,1533,6786
0,2221,1242
5,1650,8199
5,1507,20462
4,2217,8617
4,2131,19306
4,2024,12440
4,1855,11181
4,1704,8051
4,1527,6928
3,1932,11305
3,1733,10326
3,1626,5325
3,1501,5973
2,1955,14102
2,1801,4938
2,1624,938
2,1525,6927
1,2132,10544
1,2011,7388
1,1852,4902
1,1706,3072
1,1521,16849
5,2047,5093
5,1640,17066
5,1455,10983
4,2042,6582
4,1847,9814
4,1752,3905
4,1729,1588
4,1654,3260
4,1535,5755
3,2010,5355
3,1807,7169
3,1556,1982
3,1509,12449
2,2000,8203
2,1825,4322
2,1710,12294
2,1545,5026
1,2214,8315
1,2107,5677
1,1846,6636
1,1632,1454
1,1533,828
1,1530,18103
5,2117,5882
5,1920,25037
5,1731,4216
5,1618,6423
4,2130,10759
4,2029,4123
4,1829,13985
4,1653,5296
4,1524,5232
3,2102,3358
3,2054,1084
3,1943,3389
3,1757,5417
3,1635,19860
3,1525,6036
2,2359,10925
2,2118,85766
2,2002,16418
2,1838,5036
2,1726,12022
2,1531,2755
5,2203,10329
5,2038,3677
5,1954,3780
5,1802,3815
5,1616,6106
5,1514,5714
5,1359,12334
4,1835,4155
4,1722,1442
4,1548,5104
3,2130,8211
3,2044,9713
3,1930,2879
3,1550,3951
2,2030,4065
2,1828,11141
2,1653,4909
2,1508,9752
1,1957,2696
1,1824,555253
1,1655,734
1,1530,2915
6,1606,960
6,1446,5342
5,2132,13084
5,2011,9412
5,1747,5370
5,1557,16248
4,2155,5769
4,1941,4190
4,1759,708
4,1633,8226
4,1512,582
3,1749,2299
3,1516,17296
2,2104,12354
2,1942,5542
2,1657,14132
2,1528,4449
1,2058,5488
1,1859,12075
1,1727,3860
1,1555,7322
5,2112,4032
5,2005,11162
5,1903,2658
5,1802,15640
5,1657,2528
5,1557,5553
4,2218,68903
4,2121,8119
4,1900,12950
4,1734,4012
4,1558,11229
3,1958,4273
3,1753,15734
3,1634,6844
3,1457,9149
2,1931,5429
2,1430,3627
1,1524,4267
5,2224,6913
5,2123,15158
5,1955,5070
5,1855,782
5,1724,5838
5,1554,5429
4,2124,24788
4,1851,6732
4,1639,11987
4,1515,2600
4,1425,2154
3,2045,7826
3,1905,1494
3,1750,7208
3,1640,2290
3,1524,9418
2,2114,3419
2,2009,20213
2,1911,7252
2,1615,2156
2,1500,17104
1,2024,13617
1,1855,8110
1,1736,12485
1,1509,6748
5,2105,17471
5,2015,1492
5,1916,3576
5,1747,6286
5,1508,6632
4,1939,5259
4,1835,700
4,1739,3082
3,2147,8099
3,2000,4706
3,1748,4357
3,1553,16364
2,2157,5244
2,2019,6224
2,1857,3638
2,1658,6653
2,1503,7273
1,1603,5601
6,1701,7045
6,1606,5744
5,2227,12993
5,1959,4302
5,1828,13831
5,1701,13486
5,1510,13596
4,2106,4851
4,1933,14475
4,1707,1958
4,1600,2240
3,1942,4427
3,1738,3845
3,1624,13874
2,2217,4207
2,2150,1834
2,2003,10596
2,1808,2625
2,1535,3838
1,2115,5900
1,1910,7638
1,1719,14929
5,2158,11553
5,2014,13603
5,1845,3868
5,1703,23436
5,1534,4237
4,2213,8299
4,2024,14239
4,1558,898
3,2135,5533
3,2032,18462
3,1844,1876
3,1630,13054
3,1517,9425
2,1943,2244
1,2212,7141
1,1931,24283
1,1745,4693
1,1607,3780
6,1708,8174
6,1604,5639
5,1916,5927
5,1714,4460
5,1517,12787
4,2159,12253
4,2057,21603
4,1657,2220
4,1550,2774
3,2118,6094
3,1946,4266
3,1706,12651
3,1539,24126
2,2002,974
2,1848,3521
2,1634,5841
2,1452,15516
1,2048,10118
1,1850,6720
1,1707,14604
1,1531,5263
6,1856,8252
6,1744,5433
5,2155,17588
5,2008,8182
5,1839,3932
5,1644,7413
5,1517,26056
4,2158,4626
4,2033,5226
4,1851,5950
4,1734,3529
4,1556,29490
3,2026,2974
3,1736,3655
3,1537,19426
2,2054,23421
2,1901,5601
2,1659,5986
2,1459,2314
1,2100,9483
1,1941,5815
1,1813,2831
1,1640,10817
1,1516,7625
6,1917,11800
5,2112,21699
5,1930,1400
5,1818,18272
5,1649,9217
5,1542,10274
5,1431,15835
4,2229,8316
4,2001,27811
4,1746,11479
4,1622,9245
4,1424,14496
3,2332,17220
3,2142,5495
3,2006,7263
3,1835,3464
3,1711,9596
3,1537,14289
2,2046,16543
2,1945,4094
2,1821,35969
2,1641,8389
2,1528,6316
1,2058,5152
1,1845,31600
1,1647,9400
1,1538,4451
6,1858,8479
6,1736,11107
6,1639,3151
5,2022,14480
5,1905,4458
5,1742,29512
5,1610,8933
4,2041,4941
4,1941,5534
4,1655,3459
4,1531,7666
3,1938,12515
3,1724,7189
3,1538,29138
2,2033,5380
2,1945,28248
2,1836,12643
2,1625,5912
2,1513,15720
1,2129,6253
